Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
WAPAL	0.582765	4.25E-05
LNPEP	0.608463333	0.000180586
ZBTB4	0.449427083	0.000250394
CDK5	-0.651827917	0.000254056
EIF3I	0.311225	0.000269629
HVCN1	2.6447025	0.000274816
ATP2B1	1.39054125	0.000296187
PALM	-0.163905833	0.000306552
INPP5B	0.590265833	0.000321677
TTC38	-0.679287083	0.00047803
ATXN10	0.652995833	0.000535545
CMTR1	0.492184583	0.000573067
MYBPC2	-1.412605417	0.00083362
CD53	1.715054167	0.000843501
GNPTAB	0.520569167	0.00095453
LINC00852	0.42628875	0.00107757
GYPB	-0.27026875	0.001123474
TAF4	-0.659011667	0.001189404
CCDC136	-0.44600125	0.001263589
ANAPC5	0.222421667	0.001282078
VPS53	0.48754375	0.001329621
SIRT5	0.811704583	0.001336944
GPR52	0.897875417	0.001389035
SYNE2	1.529765833	0.001452622
EGLN1	-0.876005	0.00150678
DCP1B	-1.481000833	0.001640247
EVI2B	2.559157083	0.001723396
CCDC71	0.763645833	0.001802731
FAM78A	-0.739273333	0.001866567
SLC7A5	-0.684393333	0.001870027
RFESD	0.90562875	0.002001075
NOB1	-0.39840625	0.002056623
CDRT1	-0.653400833	0.002071935
TCTN1	1.0469225	0.00209859
ZNF441	0.65255	0.002135474
HTRA2	0.427227917	0.002213601
NLRP1	0.672475	0.002245163
UBR4	0.369267917	0.002256023
LOC284788	-0.280197083	0.002270847
RAPGEF3	-0.23748375	0.002271892
PLXDC2	-0.13522	0.002295963
MLX	-0.301622917	0.002329247
FABP6	-0.655844167	0.002351152
COASY	-0.43384875	0.00243546
FCRL5	1.741222083	0.002449139
MBD3L2	-0.125533333	0.002498715
ASIC2	-0.2065225	0.002611424
RPA2	0.506745833	0.00261378
SIX1	-0.374199167	0.002618858
MEIS1	-0.813935833	0.002836891
PCTP	-1.572920417	0.003085452
BIK	0.961908333	0.003085773
AHCYL2	-0.623029167	0.00318047
RAB8B	1.237324583	0.003477031
TLR4	2.018860417	0.003501629
DYNLL2	-0.3616775	0.003516353
USP7	0.5759675	0.003575953
FLJ27243	-0.295455833	0.003635246
MSS51	0.273085	0.003636815
PTPN22	2.632131667	0.003684764
SLAMF1	2.271535	0.003712172
ARHGEF40	-0.150840833	0.003715722
DISC1	-0.241928333	0.004023166
ARRDC3	1.463494167	0.004073283
NMNAT3	-0.31732	0.00414346
GDF3	0.164861667	0.004307873
IQCE	-0.3644825	0.004448336
CCDC148-AS1	-0.32879125	0.004554719
SRR	0.781120833	0.004571538
FGB	-0.1569775	0.004583081
PARP6	-0.413099583	0.004584494
TOMM40L	0.27411125	0.004719102
DTNB	0.295823333	0.004792305
S100A13	-0.291324583	0.004908365
ZRSR1	-0.34518	0.004910758
TPI1	-0.440325	0.004942877
CHCHD3	-0.985430833	0.005276752
DCAF7	-0.30202125	0.00529765
RASEF	-0.161737917	0.005392795
VTCN1	-0.203435417	0.005463776
MYH7	-0.201917083	0.005537555
CRYGB	0.234997083	0.005544073
ASB2	1.914900833	0.005652692
GSTO1	-1.972381667	0.005789926
TRIM47	-0.375892917	0.00589247
CD33	-0.47027125	0.005910914
SLFN5	2.18537	0.005934063
KIAA0430	0.339397917	0.005953561
PRR4	-0.52012875	0.006096487
TLR10	2.561315833	0.006144693
REPIN1	-1.027269583	0.006222643
CECR1	-0.83928875	0.006238187
RUNX2	0.66571125	0.006280623
IQSEC1	-1.12799875	0.00628256
PIGL	0.6745275	0.006339351
CCNL2	0.628422917	0.006345906
PDE7A	0.915685417	0.006366924
ETNK1	-0.46183375	0.00642735
CAMKMT	-0.714247083	0.006504617
CDYL2	0.925801667	0.00651505
GOLGA7B	-0.195238333	0.006537011
ASCC2	0.291145833	0.00656567
PRR14L	0.386724167	0.006570779
RALGDS	-0.39905375	0.006595302
ASB14	0.116145833	0.006632799
ABHD12	-0.35705875	0.00666718
USP42	-0.4293225	0.006760734
DMXL2	-1.610239167	0.006789709
KLF10	1.041207083	0.006889145
C2orf76	1.100731667	0.007047501
LPGAT1	-1.30080625	0.007069991
MIR155HG	2.48753625	0.00707648
SCO2	0.296974167	0.007100652
NIPSNAP3B	1.556337917	0.0071237
MKRN9P	-0.301214167	0.007147104
PIGF	-0.571012917	0.007217105
PIGF	-0.571012917	0.007217105
SNRPN	0.633652083	0.007366031
CEP126	-0.676147083	0.00744734
EVI2A	1.56335	0.007452002
CCNL2	0.611158333	0.007575306
LPAR2	0.300439167	0.00770693
PIPSL	-0.316836667	0.007761155
HSD3B1	-0.153525417	0.007809442
CD84	0.96377	0.00785586
GAPDH	-0.2089875	0.007860404
PFDN4	-0.63284375	0.007913384
HERPUD2	-0.366169167	0.007923472
MRPL17	0.35830625	0.008116646
ADAM29	-0.352398333	0.008210555
SRRM2	0.350430833	0.008261454
TSPYL4	-1.011402083	0.008422573
LRMP	1.130384167	0.008443842
GMPPB	0.2472425	0.008446906
OTUB2	0.282506667	0.008450453
UNC13D	-0.746801667	0.008451107
TPI1	-0.510632083	0.00845166
AGPAT4	-0.567774167	0.008522754
PROK2	-0.205064167	0.008567622
TBL1X	0.907815417	0.00860381
BEND4	1.15382875	0.008619685
ILVBL	0.26481125	0.008667733
LINC00612	-0.093830417	0.00868507
PPM1H	-0.831690417	0.008687634
ABTB1	-0.4289525	0.008702446
DIAPH3	-0.544544583	0.008769256
FGA	-0.125364167	0.008869068
CEACAM21	0.23981625	0.008873583
SNX17	0.487877917	0.008877948
MKS1	-1.49234375	0.008883484
RAB6A	-0.2822025	0.009106792
NMS	-0.196489583	0.009192189
GOLGA1	0.415262917	0.00930612
C11orf73	-0.473157083	0.009314877
AURKA	-0.57419875	0.009350886
PDZD3	0.201135417	0.00943225
NDUFA5	-0.78429125	0.009432581
SIGLEC17P	-0.274178333	0.009453255
TMEM194A	-0.36229375	0.009453745
UPRT	-0.694476667	0.009474222
RMDN2	1.043499583	0.009571418
CD22	2.039053333	0.009648342
LAMTOR2	-0.265065417	0.00965637
ZHX2	-0.58573875	0.00965713
RPRD1A	-0.29837	0.009704228
C2orf80	-0.181777917	0.00971329
RGMB	-1.0193675	0.009750779
MAK	0.126645833	0.009972827
HEBP2	-1.008325833	0.010026955
TRIM38	0.670305	0.010042256
ZNF213	-0.222634583	0.010056982
SAPCD1	0.337172917	0.010066462
ITPRIPL2	0.548713333	0.01015659
TXLNA	0.37191	0.010195722
TRPC2	-0.226499167	0.010199667
BRD8	-0.3660225	0.010242665
RAD23B	0.207466667	0.010263773
FAM9A	0.120585	0.010278532
CXorf58	-0.141784583	0.010336493
TBC1D20	-0.59577875	0.010435785
ZNF679	-0.102385833	0.01051006
SPP1	-0.40565125	0.010522797
HILPDA	-0.73951125	0.010596346
ZDHHC11	-0.357840417	0.010658843
XAB2	-0.25829375	0.010710524
ABCB7	-0.505731667	0.0107751
RNF149	0.96947	0.01078521
GPT2	-0.787577083	0.010833213
PPIF	0.338852917	0.010933015
ZNF596	-0.577385	0.010968526
WEE1	0.70656375	0.011045337
AIG1	-1.483487083	0.011142139
PHLDB1	-0.1869125	0.011145018
TNFSF8	2.06412375	0.011154307
GPC3	-0.1972175	0.011223867
SPATA1	0.10871625	0.011243479
RUNDC1	-0.489902917	0.011246761
LIPF	0.1022625	0.011273255
STK33	-1.487087083	0.011282985
AP1B1	0.56946375	0.011350539
UMODL1	-0.660932083	0.011351783
HSD17B11	-2.544319167	0.011381766
10-Mar	-0.138842083	0.011395669
RGS19	-0.607840417	0.011497344
LINC00994	0.189797083	0.01153503
PRKD3	1.283689583	0.01168855
ZNF778	0.807720833	0.011766991
SCLT1	-0.75033375	0.011796721
TCEA2	-0.85543875	0.011811429
OPRL1	-0.574579583	0.011867061
FAM209A	-0.272825417	0.011918191
GZMH	-0.165639167	0.01204364
MDM2	1.088098333	0.012048242
GBP6	-0.17089125	0.012121214
CLTB	-0.45901125	0.012378258
SLC15A4	1.1554525	0.012414019
PPP4R4	1.5082	0.012446093
BABAM1	0.262077083	0.012596117
TET2	-2.065715	0.012606211
IL2RG	1.8032475	0.012612731
MRPS18B	0.56212625	0.012649756
MRPS18B	0.56212625	0.012649756
MRPS18B	0.56212625	0.012649756
SIMC1	-1.67925375	0.012654492
TAF7L	-0.115767917	0.01265709
DKFZP434I0714	0.278354583	0.012658096
APBB2	1.490172083	0.012667536
TMEM216	-1.472540417	0.012678651
LONP2	-0.599742917	0.012710897
MGEA5	0.64421875	0.012903511
PI16	0.5343875	0.013083961
GOLGA3	0.353503333	0.013085426
TET2	-1.29652875	0.013096163
NDP	-0.219383333	0.013098124
UBE2Q1	-0.45743375	0.013279707
COL9A1	-0.135572917	0.01336153
CERS2	-0.594832083	0.013413025
CCDC171	0.804299583	0.013480992
XPNPEP1	0.607942083	0.013522848
MYBPH	-1.238079583	0.013545113
SH3PXD2A	-0.363221667	0.013614507
GNAZ	-0.90823	0.013651232
SFR1	0.383544583	0.013662422
MBD3L2	-0.102774583	0.013693603
THADA	0.471034583	0.013725073
OR11H6	-0.14154625	0.013788469
FLJ33360	-0.231209583	0.013881784
DAG1	0.18471875	0.013929274
SHPK	0.30771	0.013976998
DDX24	0.306695833	0.014049695
MAPK13	1.108894167	0.014113368
BCAT2	0.5321675	0.014119534
RIOK3	0.334420417	0.014123593
KLRB1	-0.171132917	0.01414166
CLASP2	-0.585266667	0.014219838
THPO	-0.441100417	0.014241882
SMYD4	0.52587	0.014278339
HECTD3	0.38710875	0.014367307
PREP	-0.56177	0.014408319
RPRM	-0.219274167	0.014654464
NXPE1	-0.159435417	0.014675147
B4GALNT3	-0.235344167	0.014692742
ACO1	0.87833625	0.014728578
ARHGEF11	-0.775079167	0.014887966
VCP	0.314935	0.014891945
TP73	0.515832083	0.014925081
ZCCHC11	0.405069583	0.01496973
TRIM44	-2.233195	0.01499414
PFDN2	-0.26252625	0.015062503
TERF1	-0.64822625	0.015114659
MPP5	0.468021667	0.01520439
EEF1E1	0.429080417	0.015219103
CDC42EP3	1.000830833	0.015261836
3-Mar	1.3881825	0.015264873
LCN8	-0.446231667	0.015295279
GLA	-0.41582	0.015311313
C18orf25	0.35526	0.015416984
